,Unnamed: 0,Title,Year,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players,Mushed Title,Merge Title,Developer:,Discounted Price,Genre:,Number of Ratings,Percentage of Positive Reviews,Price,Publisher:,Release Date:,Title:,Franchise:
0,0.0,The Legend of Zelda: Ocarina of Time,1998,Nintendo,Action Adventure;Fantasy,Nintendo64,99,9.1,1 Player,['TheLegendofZelda:OcarinaofTime'],The Legendof Zelda: Ocarinaof Time,,,,,,,,,,
1,1.0,Tony Hawk's Pro Skater 2,2000,NeversoftEntertainment,Sports;Alternative;Skateboarding,PlayStation,98,7.4,1-2 ,"[""TonyHawk'sProSkater2""]",Tony Hawk's Pro Skater2,,,,,,,,,,
2,10.0,Tony Hawk's Pro Skater 2,2000,Treyarch,Sports;Alternative;Skateboarding,Dreamcast,97,6.2,not specified,"[""TonyHawk'sProSkater2""]",Tony Hawk's Pro Skater2,,,,,,,,,,
3,54.0,Tony Hawk's Pro Skater 2,2001,VicariousVisions,Sports;Alternative;Skateboarding,GameBoyAdvance,95,7.0,not specified,"[""TonyHawk'sProSkater2""]",Tony Hawk's Pro Skater2,,,,,,,,,,
4,308.0,Tony Hawk's Pro Skater 2,2000,NeversoftEntertainment,Sports;Alternative;Individual;Skateboarding;Skateboarding;Skate / Skateboard,PC,91,8.5,1-4 ,"[""TonyHawk'sProSkater2""]",Tony Hawk's Pro Skater2,,,,,,,,,,
5,1826.0,Tony Hawk's Pro Skater 2,2001,EdgeofReality,Sports;Alternative;Skateboarding,Nintendo64,84,8.8,not specified,"[""TonyHawk'sProSkater2""]",Tony Hawk's Pro Skater2,,,,,,,,,,
6,2.0,Grand Theft Auto IV,2008,RockstarNorth,Action Adventure;Modern;Modern;Open-World,PlayStation3,98,7.5,1 Player,['GrandTheftAutoIV'],Grand Theft Auto I V,,,,,,,,,,
7,4.0,Grand Theft Auto IV,2008,RockstarNorth,Action Adventure;Modern;Modern;Open-World,Xbox360,98,7.9,1 Player,['GrandTheftAutoIV'],Grand Theft Auto I V,,,,,,,,,,
8,474.0,Grand Theft Auto IV,2008,RockstarToronto,Action Adventure;Modern;Modern;Open-World,PC,90,6.7,1 Player,['GrandTheftAutoIV'],Grand Theft Auto I V,,,,,,,,,,
9,3.0,SoulCalibur,1999,Namco,Action;Fighting;3D,Dreamcast,98,8.6,1-2 ,['SoulCalibur'],Soul Calibur,,,,,,,,,,
10,3925.0,SoulCalibur,2008,NamcoBandaiGames,Action;Fighting;Fighting;3D;3D,Xbox360,79,8.4,1-2 ,['SoulCalibur'],Soul Calibur,,,,,,,,,,
11,5.0,Super Mario Galaxy,2007,Nintendo,Action;Platformer;Platformer;3D;3D,Wii,97,9.0,No Online Multiplayer,['SuperMarioGalaxy'],Super Mario Galaxy,,,,,,,,,,
12,6.0,Super Mario Galaxy 2,2010,NintendoEADTokyo,Action;Platformer;Platformer;3D;3D,Wii,97,9.1,No Online Multiplayer,['SuperMarioGalaxy2'],Super Mario Galaxy2,,,,,,,,,,
13,7.0,Grand Theft Auto V,2014,RockstarNorth,Action Adventure;Modern;Open-World,XboxOne,97,7.8,Up to 30 ,['GrandTheftAutoV'],Grand Theft Auto V,['Rockstar North'],N/A,"['Action', 'Adventure']",773837.0,79%,$29.99,['Rockstar Games'],['Apr142015'],['GrandTheftAutoV'],['Grand Theft Auto']
14,8.0,Grand Theft Auto V,2013,RockstarNorth,Modern;Action Adventure;Modern;Open-World,PlayStation3,97,8.3,Up to 16 ,['GrandTheftAutoV'],Grand Theft Auto V,['Rockstar North'],N/A,"['Action', 'Adventure']",773837.0,79%,$29.99,['Rockstar Games'],['Apr142015'],['GrandTheftAutoV'],['Grand Theft Auto']
15,9.0,Grand Theft Auto V,2013,RockstarNorth,Modern;Action Adventure;Modern;Open-World,Xbox360,97,8.3,Up to 16 ,['GrandTheftAutoV'],Grand Theft Auto V,['Rockstar North'],N/A,"['Action', 'Adventure']",773837.0,79%,$29.99,['Rockstar Games'],['Apr142015'],['GrandTheftAutoV'],['Grand Theft Auto']
16,14.0,Grand Theft Auto V,2014,RockstarNorth,Action Adventure;Modern;Open-World,PlayStation4,97,8.3,Up to 30 ,['GrandTheftAutoV'],Grand Theft Auto V,['Rockstar North'],N/A,"['Action', 'Adventure']",773837.0,79%,$29.99,['Rockstar Games'],['Apr142015'],['GrandTheftAutoV'],['Grand Theft Auto']
17,21.0,Grand Theft Auto V,2015,RockstarNorth,Modern;Action Adventure;Open-World,PC,96,7.7,Up to 32 ,['GrandTheftAutoV'],Grand Theft Auto V,['Rockstar North'],N/A,"['Action', 'Adventure']",773837.0,79%,$29.99,['Rockstar Games'],['Apr142015'],['GrandTheftAutoV'],['Grand Theft Auto']
18,11.0,The Legend of Zelda: Breath of the Wild,2017,Nintendo,Action Adventure;Open-World,Switch,97,8.5,No Online Multiplayer,['TheLegendofZelda:BreathoftheWild'],The Legendof Zelda: Breathofthe Wild,,,,,,,,,,
19,22.0,The Legend of Zelda: Breath of the Wild,2017,Nintendo,Fantasy;Fantasy;Action Adventure;Open-World,WiiU,96,8.2,No Online Multiplayer,['TheLegendofZelda:BreathoftheWild'],The Legendof Zelda: Breathofthe Wild,,,,,,,,,,
20,12.0,Tony Hawk's Pro Skater 3,2001,NeversoftEntertainment,Sports;Alternative;Skateboarding,PlayStation2,97,7.4,1-2 ,"[""TonyHawk'sProSkater3""]",Tony Hawk's Pro Skater3,,,,,,,,,,
21,116.0,Tony Hawk's Pro Skater 3,2002,NeversoftEntertainment,Sports;Alternative;Skateboarding,Xbox,93,7.9,1-4 ,"[""TonyHawk'sProSkater3""]",Tony Hawk's Pro Skater3,,,,,,,,,,
22,321.0,Tony Hawk's Pro Skater 3,2001,NeversoftEntertainment,Sports;Alternative;Skateboarding,GameCube,91,8.8,not specified,"[""TonyHawk'sProSkater3""]",Tony Hawk's Pro Skater3,,,,,,,,,,
23,393.0,Tony Hawk's Pro Skater 3,2002,VicariousVisions,Sports;Alternative;Skateboarding,GameBoyAdvance,90,8.0,not specified,"[""TonyHawk'sProSkater3""]",Tony Hawk's Pro Skater3,,,,,,,,,,
24,406.0,Tony Hawk's Pro Skater 3,2002,GearboxSoftware,Sports;Alternative;Individual;Skateboarding;Skateboarding;Skate / Skateboard,PC,90,8.4,1-8 ,"[""TonyHawk'sProSkater3""]",Tony Hawk's Pro Skater3,,,,,,,,,,
25,887.0,Tony Hawk's Pro Skater 3,2001,ShabaGames,Sports;Alternative;Skateboarding,PlayStation,87,8.1,1-2 ,"[""TonyHawk'sProSkater3""]",Tony Hawk's Pro Skater3,,,,,,,,,,
26,13.0,Perfect Dark,2000,RareLtd.,Action;Shooter;First-Person;Sci-Fi,Nintendo64,97,8.9,not specified,['PerfectDark'],Perfect Dark,,,,,,,,,,
27,4203.0,Perfect Dark,2010,4JStudios,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,79,8.6,not specified,['PerfectDark'],Perfect Dark,,,,,,,,,,
28,15.0,Metroid Prime,2002,RetroStudios,Action;Shooter;First-Person;Sci-Fi,GameCube,97,9.2,1 Player,['MetroidPrime'],Metroid Prime,,,,,,,,,,
29,16.0,Grand Theft Auto III,2001,DMADesign,Action Adventure;Modern,PlayStation2,97,8.5,1 Player,['GrandTheftAutoIII'],Grand Theft Auto I I I,,,,,,,,,,
30,131.0,Grand Theft Auto III,2002,"DMADesign,RockstarNorth",Action Adventure;Modern;Modern;Open-World,PC,93,8.3,No Online Multiplayer,['GrandTheftAutoIII'],Grand Theft Auto I I I,,,,,,,,,,
31,17.0,Super Mario Odyssey,2017,Nintendo,Action;Platformer;3D,Switch,97,8.9,No Online Multiplayer,['SuperMarioOdyssey'],Super Mario Odyssey,,,,,,,,,,
32,18.0,Halo: Combat Evolved,2001,BungieSoftware,Action;Shooter;First-Person;Sci-Fi,Xbox,97,8.6,1-4 ,['Halo:CombatEvolved'],Halo: Combat Evolved,,,,,,,,,,
33,2050.0,Halo: Combat Evolved,2003,GearboxSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,83,7.5,1-16 ,['Halo:CombatEvolved'],Halo: Combat Evolved,,,,,,,,,,
34,19.0,NFL 2K1,2000,VisualConcepts,Sports;Traditional;Football;Sim,Dreamcast,97,6.4,not specified,['NFL2K1'],N F L2 K1,,,,,,,,,,
35,20.0,Half-Life 2,2004,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,96,9.1,No Online Multiplayer,['Half-Life2'],Half- Life2,,,,,,,,,,
36,360.0,Half-Life 2,2005,ValveSoftware,Action;Shooter;First-Person;Sci-Fi,Xbox,90,8.4,1 Player,['Half-Life2'],Half- Life2,,,,,,,,,,
37,23.0,BioShock,2007,"IrrationalGames,2KMarin",Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,96,8.9,No Online Multiplayer,['BioShock'],Bio Shock,,,,,,,,,,
38,38.0,BioShock,2007,"IrrationalGames,2KMarin",Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,96,8.5,No Online Multiplayer,['BioShock'],Bio Shock,,,,,,,,,,
39,75.0,BioShock,2008,"DigitalExtremes,2KMarin",Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PlayStation3,94,8.7,No Online Multiplayer,['BioShock'],Bio Shock,,,,,,,,,,
40,24.0,GoldenEye 007,1997,RareLtd.,Action;Shooter;First-Person;Modern,Nintendo64,96,9.1,1-4 ,['GoldenEye007'],Golden Eye007,,,,,,,,,,
41,3084.0,GoldenEye 007,2010,"EurocomEntertainmentSoftware,Eurocom",Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,Wii,81,7.7,Up to 8 ,['GoldenEye007'],Golden Eye007,,,,,,,,,,
42,25.0,Uncharted 2: Among Thieves,2009,NaughtyDog,Action Adventure;Modern;Modern;Linear,PlayStation3,96,8.9,No Online Multiplayer,['Uncharted2:AmongThieves'],Uncharted2: Among Thieves,,,,,,,,,,
43,26.0,Resident Evil 4,2005,Capcom,Action Adventure;Horror,GameCube,96,9.3,1 Player,['ResidentEvil4'],Resident Evil4,,,,,,,,,,
